Date,Open,High,Low,Close
2020-07-10,92.67220807313528,93.29919680465662,92.05980720131565,93.2408676147461
2020-07-13,94.54830204332501,97.16317034048585,92.59687358818513,92.81072998046875
2020-07-14,92.19102638698895,94.53857406439258,91.25541584676947,94.34659576416016
2020-07-15,96.22512744748764,96.47543496831665,93.7949544622353,94.9954605102539
2020-07-16,93.86539120936604,94.68435796677305,93.22625480235573,93.82650756835938
2020-07-17,94.27853958226679,94.43406675668288,93.16308394375518,93.63697052001953
2020-07-20,93.72445896521012,95.74878924107003,93.3793712332009,95.61026763916016
2020-07-21,96.40250793502297,96.47784268487361,94.04038010462556,94.29068756103516
2020-07-22,93.9917859277632,95.23846569726479,93.90430327124304,94.55558776855469
2020-07-23,94.28826007791201,94.36602737751309,89.4400704095434,90.25174713134766
2020-07-24,88.44612298600447,90.3732478217121,86.65507978820487,90.02816009521484
2020-07-27,91.09260583305284,92.25422825579042,90.86903406529393,92.16188049316406
2020-07-28,91.73171241529057,91.90911765979025,90.64299257507496,90.64785766601562
2020-07-29,91.1314746598381,92.57014013630604,91.09502355323384,92.38544464111328
2020-07-30,91.55677066710048,93.60783733719364,91.14850337011598,93.50334167480469
2020-07-31,100.01131298580023,103.4427150893672,98.00884596601564,103.29204559326172
2020-08-03,105.17787905542978,108.51936675829901,104.87897253825906,105.89478302001953
2020-08-04,106.08431605909598,107.69552155569056,105.36012201007934,106.60194396972656
2020-08-05,106.32249256981191,107.30914213352884,105.855896128936,106.98835754394531
2020-08-06,107.32127567476975,111.21684185628432,106.73074554314383,110.72108459472656
2020-08-07,110.24147880055945,110.69917615288762,107.40522480472758,108.2037582397461
2020-08-10,109.65232461053742,110.7965681078349,107.12038961467015,109.7764892578125
2020-08-11,109.03882559792697,109.53790628694743,106.25125778841227,106.51175689697266
2020-08-12,107.6048585408266,110.30965211624508,107.41009717699765,110.05158996582031
2020-08-13,111.43442627597457,113.00471686377213,110.94507845537643,111.9992446899414
2020-08-14,111.82395872639943,111.98950664875923,110.08568325260936,111.89942932128906
2020-08-17,113.02418165118854,113.04852867975069,110.97915755635789,111.60726928710938
2020-08-18,111.35895378278491,112.96332424198891,111.0229840865938,112.53727722167969
2020-08-19,112.94626924012053,114.09537909958976,112.58352304816549,112.678466796875
2020-08-20,112.71989290336339,115.2932192393757,112.70284923578588,115.17879486083984
2020-08-21,116.14041187069935,121.59868597251888,116.1282420708619,121.11421203613281
2020-08-24,125.32841718543504,125.41363550271217,120.69303108379322,122.5627670288086
2020-08-25,121.43313953220415,121.90300674261194,119.83119859572422,121.55729675292969
2020-08-26,122.87682491569296,123.66805506312153,121.8080520118478,123.21035766601562
2020-08-27,123.81413958938536,124.1476723660599,120.59078438962894,121.73746490478516
2020-08-28,122.71370987305927,123.13245352128918,121.31627804416574,121.5402603149414
2020-08-31,124.2401853001041,127.5706540266875,122.7015450943712,125.66195678710938
2020-09-01,129.28454878420325,131.27115314665346,127.11293080171876,130.66737365722656
2020-09-02,133.98813369086878,134.36792358657635,123.67536471875171,127.96017456054688
2020-09-03,123.58771983998423,125.46718865430032,117.34551895820641,117.71556854248047
2020-09-04,116.92677914209935,120.46174947786696,107.98709503336387,117.7934799194336
2020-09-08,110.96700083329368,115.87506402567054,109.73025030829417,109.86658477783203
2020-09-09,114.19035236329198,116.02113476904711,112.24270866069972,114.248779296875
2020-09-10,117.20919386101103,117.3455283202875,109.55495382599455,110.51903533935547
2020-09-11,111.57075280375336,112.21347869736357,107.12038789476668,109.06803131103516
2020-09-14,111.71681216004912,112.89513537305015,109.84707652105583,112.34005737304688
2020-09-15,115.23232916774082,115.71924004150326,110.6358893306761,112.51536560058594
2020-09-16,112.21349478503636,112.9633343387469,109.10700071322607,109.19464111328125
2020-09-17,106.84770479761534,109.2627781520389,105.86414292287712,107.45146942138672
2020-09-18,107.50992424081115,107.97735452695603,103.31274738543307,104.0431137084961
2020-09-21,101.80332967507266,107.3054242127271,100.4010239357237,107.19830322265625
2020-09-22,109.73023848769446,109.9055267053134,106.30238909052137,108.88301086425781
2020-09-23,108.69800203267872,109.17517267845402,103.97495992260683,104.31580352783203
2020-09-24,102.41683403022385,107.36385041762158,102.25128611202055,105.38699340820312
2020-09-25,105.59147885116779,109.49650563867307,104.851372337576,109.34069061279297
2020-09-28,111.9992479561973,112.30113033847593,109.82762206038593,111.95055389404297
2020-09-29,111.55128179324593,112.29138095636048,110.59693323178644,111.10331726074219
2020-09-30,110.81118070719012,114.19034345635778,110.6456327885037,112.7782974243164
2020-10-01,114.56038244447453,114.63828996240579,112.7977675718812,113.73263549804688
2020-10-02,109.93473092714387,112.3498120079921,109.28227217240111,110.06132507324219
2020-10-05,110.9280237828925,113.59629292893594,110.57744740695462,113.4502182006836
2020-10-06,112.6711784272963,113.0801892267211,109.31149621483338,110.19767761230469
2020-10-07,111.61945619842345,112.52511075993657,111.14227817215749,112.06741333007812
2020-10-08,113.20677195191192,113.35284669197739,111.59022437328177,111.96028137207031
2020-10-09,112.26215985337453,113.93713429847533,111.9115834611595,113.90792083740234
2020-10-12,116.91703480605202,121.90300475026318,116.1574550435818,121.14342498779297
2020-10-13,121.99063649380032,122.10749776807862,116.5177635009862,117.92980194091797
2020-10-14,117.8324275512861,119.80928444459767,116.48855625885349,118.0174560546875
2020-10-15,115.61210017102462,118.02717354979713,115.05702216278772,117.55000305175781
2020-10-16,118.10509791229572,118.36803393931339,115.69975705683035,115.90425872802734
2020-10-19,116.81965398590057,117.26761109070254,112.63222499944558,112.94384765625
2020-10-20,113.15808815638162,115.86531895269678,112.60301003753486,114.43379974365234
2020-10-21,113.61578568990575,115.60238301966777,113.40154370880339,113.81055450439453
